X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48
0.062,30703,0.062,24877,0.062,-16969,0.062,-3947,0.062,-8821,0.062,-5343,0.062,-16386,0.062,-7248,0.062,30108,0.062,33622,0.062,16834,0.062,16137,0.062,11397,0.062,-4916,0.062,11351,0.062,6659
0.063,36152,0.063,20347,0.063,-17820,0.063,-8781,0.063,-16730,0.063,-12464,0.063,-19228,0.063,-14122,0.063,31949,0.063,29661,0.063,9853,0.063,6021,0.063,1109,0.063,-11862,0.063,2724,0.063,-2085
0.065,38722,0.065,13314,0.065,-17572,0.065,-11487,0.065,-21971,0.065,-16946,0.065,-19826,0.065,-18500,0.065,30241,0.065,22245,0.065,1443,0.065,-3300,0.065,-7789,0.065,-16932,0.065,-4719,0.065,-9628
0.067,37420,0.067,4892,0.067,-16587,0.067,-12395,0.067,-24446,0.067,-18860,0.067,-18718,0.067,-20459,0.067,25176,0.067,12656,0.067,-6981,0.067,-10471,0.067,-14365,0.067,-19870,0.067,-10109,0.067,-15019
0.068,32150,0.068,-3443,0.068,-15231,0.068,-12163,0.068,-24879,0.068,-18893,0.068,-16932,0.068,-20675,0.068,17685,0.068,2022,0.068,-14100,0.068,-15165,0.068,-18364,0.068,-21181,0.068,-13533,0.068,-18365
0.07,23617,0.07,-10577,0.07,-13713,0.07,-10973,0.07,-23621,0.07,-17711,0.07,-14835,0.07,-19668,0.07,8901,0.07,-7625,0.07,-19118,0.07,-17530,0.07,-19910,0.07,-20951,0.07,-15164,0.07,-19758
0.072,13260,0.072,-15614,0.072,-12225,0.072,-9385,0.072,-21641,0.072,-15812,0.072,-12439,0.072,-18041,0.072,382,0.072,-15039,0.072,-21957,0.072,-17992,0.072,-19799,0.072,-19930,0.072,-15526,0.072,-19668
0.073,2911,0.073,-18538,0.073,-10475,0.073,-7769,0.073,-19169,0.073,-13724,0.073,-10087,0.073,-16013,0.073,-6898,0.073,-20093,0.073,-22994,0.073,-17183,0.073,-18607,0.073,-18430,0.073,-14618,0.073,-18748
0.075,-5770,0.075,-19600,0.075,-8404,0.075,-6147,0.075,-16575,0.075,-11644,0.075,-8088,0.075,-13901,0.075,-12295,0.075,-22766,0.075,-22590,0.075,-15857,0.075,-16919,0.075,-16839,0.075,-13380,0.075,-17062
0.077,-12415,0.077,-19211,0.077,-6325,0.077,-4501,0.077,-14003,0.077,-9561,0.077,-6144,0.077,-11542,0.077,-15580,0.077,-23247,0.077,-21241,0.077,-13993,0.077,-14878,0.077,-14979,0.077,-11729,0.077,-15010
0.078,-16264,0.078,-17909,0.078,-4008,0.078,-3256,0.078,-11608,0.078,-7603,0.078,-4458,0.078,-9326,0.078,-16837,0.078,-22234,0.078,-19405,0.078,-11982,0.078,-12859,0.078,-13199,0.078,-9917,0.078,-12804
0.08,-17986,0.08,-16269,0.08,-1494,0.08,-2029,0.08,-9229,0.08,-5654,0.08,-2864,0.08,-7289,0.08,-16702,0.08,-20504,0.08,-17573,0.08,-10227,0.08,-10817,0.08,-11665,0.08,-8066,0.08,-10532
0.082,-18102,0.082,-14600,0.082,1243,0.082,-634,0.082,-6968,0.082,-3709,0.082,-1338,0.082,-5399,0.082,-15688,0.082,-18145,0.082,-15529,0.082,-8333,0.082,-8838,0.082,-10137,0.082,-6474,0.082,-8296
0.083,-17352,0.083,-12948,0.083,3971,0.083,1039,0.083,-4722,0.083,-1900,0.083,398,0.083,-3573,0.083,-14112,0.083,-15738,0.083,-13627,0.083,-6443,0.083,-6811,0.083,-8496,0.083,-4728,0.083,-6337
0.085,-15702,0.085,-11416,0.085,6770,0.085,2816,0.085,-2546,0.085,40,0.085,2386,0.085,-1972,0.085,-12280,0.085,-13508,0.085,-11744,0.085,-4713,0.085,-4887,0.085,-6668,0.085,-2912,0.085,-4416
0.087,-13738,0.087,-10050,0.087,9364,0.087,4725,0.087,-306,0.087,2066,0.087,4527,0.087,-380,0.087,-10719,0.087,-11345,0.087,-10011,0.087,-2878,0.087,-2938,0.087,-4921,0.087,-1111,0.087,-2399
0.088,-11513,0.088,-8344,0.088,11432,0.088,6688,0.088,1764,0.088,3961,0.088,6436,0.088,1236,0.088,-9162,0.088,-9381,0.088,-8125,0.088,-904,0.088,-968,0.088,-2957,0.088,611,0.088,-382
0.09,-9173,0.09,-6442,0.09,12906,0.09,8366,0.09,3741,0.09,5539,0.09,7912,0.09,2665,0.09,-7495,0.09,-7670,0.09,-6139,0.09,939,0.09,964,0.09,-1041,0.09,2568,0.09,1696
0.092,-6687,0.092,-4369,0.092,13558,0.092,9157,0.092,5460,0.092,6950,0.092,8815,0.092,3952,0.092,-5819,0.092,-5883,0.092,-3994,0.092,2897,0.092,2865,0.092,623,0.092,4426,0.092,3794
0.093,-4190,0.093,-2262,0.093,13329,0.093,9365,0.093,6718,0.093,7850,0.093,8657,0.093,4933,0.093,-4068,0.093,-3647,0.093,-1806,0.093,4611,0.093,4443,0.093,1626,0.093,6122,0.093,5683
0.095,-1935,0.095,23,0.095,12236,0.095,9037,0.095,7497,0.095,8214,0.095,7852,0.095,5554,0.095,-1998,0.095,-1296,0.095,579,0.095,6097,0.095,5720,0.095,2211,0.095,7557,0.095,7171
0.097,317,0.097,1826,0.097,10593,0.097,8047,0.097,7765,0.097,8102,0.097,6705,0.097,5550,0.097,-65,0.097,1212,0.097,2774,0.097,7089,0.097,6287,0.097,2216,0.097,8595,0.097,8196
0.098,2488,0.098,3167,0.098,8343,0.098,6722,0.098,7487,0.098,7681,0.098,5395,0.098,5085,0.098,1776,0.098,3676,0.098,4371,0.098,7636,0.098,6335,0.098,1503,0.098,9026,0.098,8464
0.1,4406,0.1,3929,0.1,5971,0.1,5499,0.1,6732,0.1,7144,0.1,4257,0.1,4032,0.1,3529,0.1,5829,0.1,5612,0.1,7495,0.1,5700,0.1,383,0.1,8814,0.1,8152
0.102,5906,0.102,4360,0.102,3608,0.102,4206,0.102,5813,0.102,6459,0.102,3577,0.102,2893,0.102,5119,0.102,7192,0.102,6114,0.102,6911,0.102,4867,0.102,-986,0.102,8185,0.102,7388
0.103,7401,0.103,4114,0.103,1295,0.103,3006,0.103,4799,0.103,5751,0.103,3263,0.103,1548,0.103,6110,0.103,7834,0.103,5855,0.103,5855,0.103,3419,0.103,-2370,0.103,7273,0.103,6093
0.105,8443,0.105,3192,0.105,-773,0.105,2081,0.105,4014,0.105,5117,0.105,3101,0.105,425,0.105,6794,0.105,7911,0.105,4797,0.105,4635,0.105,2086,0.105,-3769,0.105,6214,0.105,4645
0.107,9164,0.107,2116,0.107,-2535,0.107,1390,0.107,3439,0.107,4778,0.107,3412,0.107,-348,0.107,6991,0.107,7612,0.107,3484,0.107,3604,0.107,788,0.107,-4907,0.107,5051,0.107,3457
0.108,9545,0.108,886,0.108,-4060,0.108,1020,0.108,3101,0.108,4348,0.108,3921,0.108,-584,0.108,6628,0.108,6911,0.108,1570,0.108,2656,0.108,-137,0.108,-5884,0.108,4275,0.108,2449
0.11,9550,0.11,-682,0.11,-5049,0.11,1201,0.11,3170,0.11,4180,0.11,4807,0.11,-537,0.11,5573,0.11,5956,0.11,-243,0.11,2211,0.11,-1093,0.11,-6340,0.11,3491,0.11,1780
0.112,8895,0.112,-2251,0.112,-5577,0.112,1823,0.112,3676,0.112,4335,0.112,5970,0.112,-110,0.112,4464,0.112,4870,0.112,-1969,0.112,2118,0.112,-1251,0.112,-6631,0.112,3048,0.112,1498
0.113,8142,0.113,-3063,0.113,-5759,0.113,2920,0.113,4491,0.113,4835,0.113,7723,0.113,825,0.113,3229,0.113,3671,0.113,-3130,0.113,2624,0.113,-1043,0.113,-6302,0.113,3075,0.113,1509
