X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48
0.035,261000,0.035,-4206,0.035,1570,0.035,-1989,0.035,-4016,0.035,-3362,0.035,-5681,0.035,-1402,0.035,-1059,0.035,-4714,0.035,-6257,0.035,-4692,0.035,-6332,0.035,-9170,0.035,-9903,0.035,-7729,0.035,-1697,0.035,-2503,0.035,-4784,0.035,-9140,0.035,-3863,0.035,-4407,0.035,-3746,0.035,-3024,0.035,-4661,0.035,-1304,0.035,-6684,0.035,-1135,0.035,-4682,0.035,-227,0.035,-733,0.035,-5137,0.035,-1918,0.035,-7268,0.035,-4861,0.035,-5235,0.035,3124,0.035,2303,0.035,-1951,0.035,-3293,0.035,-4743,0.035,-6586,0.035,-4902,0.035,-5132,0.035,2080,0.035,-2046,0.035,444,0.035,-5162
0.037,252174,0.037,-2689,0.037,5873,0.037,1467,0.037,-2940,0.037,-3918,0.037,-5886,0.037,-1433,0.037,-541,0.037,-3636,0.037,-5015,0.037,-4024,0.037,-6469,0.037,-9692,0.037,-9864,0.037,-8020,0.037,-1833,0.037,-2062,0.037,-5329,0.037,-9673,0.037,-4194,0.037,-4414,0.037,-4363,0.037,-3101,0.037,-5373,0.037,-1349,0.037,-6855,0.037,-1136,0.037,-4963,0.037,-277,0.037,-462,0.037,-5328,0.037,-2276,0.037,-7789,0.037,-4860,0.037,-5266,0.037,3391,0.037,2532,0.037,-2129,0.037,-3521,0.037,-4811,0.037,-6511,0.037,-5344,0.037,-5350,0.037,2299,0.037,-2339,0.037,217,0.037,-5271
0.038,232725,0.038,-77,0.038,10834,0.038,6291,0.038,-670,0.038,-4052,0.038,-5919,0.038,-1517,0.038,660,0.038,-1239,0.038,-2460,0.038,-1923,0.038,-5789,0.038,-10193,0.038,-9936,0.038,-8387,0.038,-2014,0.038,-1418,0.038,-5422,0.038,-9924,0.038,-4461,0.038,-4458,0.038,-4948,0.038,-3402,0.038,-5908,0.038,-926,0.038,-7037,0.038,-1098,0.038,-5244,0.038,-197,0.038,-116,0.038,-5515,0.038,-2424,0.038,-8311,0.038,-4911,0.038,-5537,0.038,3331,0.038,2616,0.038,-2543,0.038,-3861,0.038,-4856,0.038,-6741,0.038,-5531,0.038,-5425,0.038,2433,0.038,-2770,0.038,-2,0.038,-5086
0.04,202356,0.04,3916,0.04,15667,0.04,12034,0.04,2812,0.04,-3770,0.04,-6177,0.04,-1637,0.04,2958,0.04,2829,0.04,1477,0.04,1798,0.04,-4203,0.04,-10190,0.04,-10149,0.04,-8496,0.04,-1742,0.04,-336,0.04,-4743,0.04,-10062,0.04,-4778,0.04,-4245,0.04,-5577,0.04,-3556,0.04,-6257,0.04,192,0.04,-7178,0.04,-1093,0.04,-5514,0.04,-251,0.04,203,0.04,-5506,0.04,-2505,0.04,-8924,0.04,-5159,0.04,-5841,0.04,3017,0.04,2468,0.04,-2802,0.04,-4290,0.04,-5017,0.04,-7259,0.04,-5511,0.04,-5462,0.04,2459,0.04,-2949,0.04,-336,0.04,-4801
0.042,162744,0.042,8946,0.042,19153,0.042,17943,0.042,7693,0.042,-2400,0.042,-6230,0.042,-1929,0.042,6639,0.042,8644,0.042,6714,0.042,7229,0.042,-1067,0.042,-9563,0.042,-10366,0.042,-8867,0.042,-271,0.042,1674,0.042,-3078,0.042,-9589,0.042,-4396,0.042,-4019,0.042,-5929,0.042,-3408,0.042,-5993,0.042,1760,0.042,-6914,0.042,-806,0.042,-5988,0.042,114,0.042,507,0.042,-5189,0.042,-2428,0.042,-9392,0.042,-5311,0.042,-6271,0.042,2814,0.042,2190,0.042,-3277,0.042,-4591,0.042,-4883,0.042,-7958,0.042,-5324,0.042,-5599,0.042,2656,0.042,-3033,0.042,-974,0.042,-4719
0.043,116882,0.043,14711,0.043,20074,0.043,22619,0.043,13665,0.043,-55,0.043,-6055,0.043,-2189,0.043,11748,0.043,15526,0.043,12358,0.043,13766,0.043,3381,0.043,-7634,0.043,-10407,0.043,-9120,0.043,2242,0.043,4909,0.043,-13,0.043,-8486,0.043,-3271,0.043,-3438,0.043,-6090,0.043,-3523,0.043,-5071,0.043,3965,0.043,-5769,0.043,-154,0.043,-6229,0.043,598,0.043,794,0.043,-4839,0.043,-2118,0.043,-9744,0.043,-5264,0.043,-6340,0.043,2885,0.043,2135,0.043,-3848,0.043,-4808,0.043,-4519,0.043,-8559,0.043,-5083,0.043,-5717,0.043,2630,0.043,-3196,0.043,-1726,0.043,-4600
0.045,69593,0.045,19929,0.045,17866,0.045,24948,0.045,19444,0.045,3698,0.045,-5094,0.045,-2372,0.045,18337,0.045,22903,0.045,17663,0.045,20697,0.045,8894,0.045,-4585,0.045,-10105,0.045,-9405,0.045,6297,0.045,9534,0.045,4644,0.045,-6311,0.045,-861,0.045,-2373,0.045,-6205,0.045,-3197,0.045,-2976,0.045,7419,0.045,-3344,0.045,1142,0.045,-6053,0.045,1395,0.045,1367,0.045,-4334,0.045,-906,0.045,-9162,0.045,-4589,0.045,-5919,0.045,3507,0.045,2207,0.045,-4341,0.045,-4902,0.045,-3741,0.045,-8611,0.045,-4360,0.045,-5789,0.045,2767,0.045,-3550,0.045,-2344,0.045,-4599
0.047,26166,0.047,23562,0.047,12374,0.047,23896,0.047,23819,0.047,8838,0.047,-3012,0.047,-1665,0.047,25396,0.047,29394,0.047,21175,0.047,26559,0.047,14806,0.047,21,0.047,-9154,0.047,-9739,0.047,12030,0.047,15271,0.047,10614,0.047,-2655,0.047,3006,0.047,-216,0.047,-5672,0.047,-2463,0.047,625,0.047,12011,0.047,689,0.047,3482,0.047,-5002,0.047,2756,0.047,2239,0.047,-3680,0.047,1429,0.047,-7585,0.047,-3299,0.047,-4711,0.047,5312,0.047,2660,0.047,-4604,0.047,-4681,0.047,-2191,0.047,-7921,0.047,-3350,0.047,-5380,0.047,3326,0.047,-3715,0.047,-2899,0.047,-4893
0.048,-8687,0.048,24546,0.048,4437,0.048,19373,0.048,25985,0.048,15520,0.048,534,0.048,114,0.048,32003,0.048,33557,0.048,21899,0.048,30192,0.048,20253,0.048,5594,0.048,-6892,0.048,-9768,0.048,18751,0.048,21775,0.048,17281,0.048,2349,0.048,8649,0.048,3012,0.048,-4334,0.048,-1114,0.048,5908,0.048,17484,0.048,6155,0.048,6978,0.048,-2760,0.048,5401,0.048,3934,0.048,-3067,0.048,4984,0.048,-4630,0.048,-550,0.048,-2251,0.048,8358,0.048,4166,0.048,-4679,0.048,-4336,0.048,359,0.048,-6001,0.048,-1404,0.048,-4232,0.048,4285,0.048,-3914,0.048,-3292,0.048,-5173
0.05,-31494,0.05,22023,0.05,-4406,0.05,11864,0.05,24812,0.05,22474,0.05,5675,0.05,3200,0.05,36658,0.05,34211,0.05,19200,0.05,30567,0.05,23768,0.05,11694,0.05,-3351,0.05,-9168,0.05,24949,0.05,28048,0.05,23883,0.05,8232,0.05,15265,0.05,7849,0.05,-2042,0.05,1041,0.05,12246,0.05,23649,0.05,12567,0.05,11860,0.05,1265,0.05,9202,0.05,6922,0.05,-2201,0.05,9430,0.05,-134,0.05,3405,0.05,1804,0.05,12574,0.05,6917,0.05,-4393,0.05,-3461,0.05,4124,0.05,-2903,0.05,1709,0.05,-1748,0.05,5915,0.05,-3591,0.05,-3117,0.05,-5343
0.052,-40053,0.052,16078,0.052,-12716,0.052,2908,0.052,20186,0.052,29146,0.052,12239,0.052,7948,0.052,38221,0.052,31034,0.052,13368,0.052,27298,0.052,24585,0.052,16627,0.052,1380,0.052,-7722,0.052,29908,0.052,32632,0.052,28845,0.052,13695,0.052,22265,0.052,14054,0.052,1642,0.052,4792,0.052,19312,0.052,29512,0.052,18940,0.052,17895,0.052,7077,0.052,14298,0.052,11033,0.052,-639,0.052,14400,0.052,5923,0.052,8820,0.052,7283,0.052,17812,0.052,10922,0.052,-3297,0.052,-1623,0.052,9184,0.052,1640,0.052,6394,0.052,2135,0.052,9202,0.052,-2618,0.052,-2113,0.052,-5511
0.053,-34040,0.053,7994,0.053,-19473,0.053,-6033,0.053,13011,0.053,33956,0.053,19311,0.053,14466,0.053,35835,0.053,24396,0.053,5303,0.053,21003,0.053,22042,0.053,19759,0.053,6740,0.053,-4792,0.053,32244,0.053,34616,0.053,31026,0.053,17513,0.053,28237,0.053,20630,0.053,7103,0.053,9911,0.053,25605,0.053,33556,0.053,24012,0.053,24465,0.053,14242,0.053,20669,0.053,16467,0.053,1823,0.053,18535,0.053,12566,0.053,15147,0.053,13671,0.053,23472,0.053,16214,0.053,-1663,0.053,1534,0.053,15512,0.053,7250,0.053,12212,0.053,7743,0.053,14021,0.053,-478,0.053,-12,0.053,-5014
0.055,-14507,0.055,-1077,0.055,-23466,0.055,-13599,0.055,4474,0.055,35828,0.055,25534,0.055,21526,0.055,29867,0.055,15261,0.055,-3500,0.055,12697,0.055,16352,0.055,19808,0.055,12021,0.055,-98,0.055,30984,0.055,33398,0.055,29876,0.055,18279,0.055,32171,0.055,26761,0.055,13374,0.055,16203,0.055,29842,0.055,34750,0.055,26457,0.055,30341,0.055,21605,0.055,27613,0.055,22742,0.055,5591,0.055,20633,0.055,18857,0.055,21638,0.055,20132,0.055,28442,0.055,22202,0.055,1142,0.055,6267,0.055,22187,0.055,13416,0.055,18865,0.055,14159,0.055,19759,0.055,2918,0.055,3226,0.055,-3454
0.057,17041,0.057,-9584,0.057,-24954,0.057,-18641,0.057,-4067,0.057,33923,0.057,29698,0.057,28412,0.057,20853,0.057,5511,0.057,-11289,0.057,3749,0.057,8519,0.057,16569,0.057,15711,0.057,5730,0.057,26145,0.057,28847,0.057,25185,0.057,15240,0.057,32892,0.057,31407,0.057,20121,0.057,23096,0.057,30580,0.057,32471,0.057,25553,0.057,34417,0.057,28204,0.057,33788,0.057,28627,0.057,10962,0.057,19782,0.057,23325,0.057,26506,0.057,25296,0.057,31677,0.057,27457,0.057,5466,0.057,12786,0.057,28380,0.057,19002,0.057,25258,0.057,20658,0.057,26336,0.057,8005,0.057,7626,0.057,-626
0.058,58701,0.058,-16214,0.058,-24404,0.058,-21052,0.058,-11102,0.058,28737,0.058,30241,0.058,33982,0.058,10656,0.058,-3396,0.058,-17406,0.058,-4393,0.058,-166,0.058,10331,0.058,16981,0.058,12302,0.058,18632,0.058,21632,0.058,17697,0.058,8378,0.058,30071,0.058,33020,0.058,25832,0.058,29577,0.058,27493,0.058,26874,0.058,21126,0.058,35078,0.058,32321,0.058,37682,0.058,32864,0.058,17533,0.058,15555,0.058,24724,0.058,29066,0.058,27802,0.058,31949,0.058,30602,0.058,11257,0.058,20191,0.058,32435,0.058,23166,0.058,29800,0.058,26095,0.058,32636,0.058,14105,0.058,12620,0.058,3785
0.06,108338,0.06,-20327,0.06,-22448,0.06,-21236,0.06,-15956,0.06,20805,0.06,27013,0.06,36699,0.06,878,0.06,-10225,0.06,-21059,0.06,-10803,0.06,-8508,0.06,2424,0.06,15266,0.06,18163,0.06,9640,0.06,13054,0.06,8876,0.06,-756,0.06,24026,0.06,30955,0.06,29247,0.06,33924,0.06,21006,0.06,18654,0.06,13783,0.06,31866,0.06,32764,0.06,38549,0.06,34538,0.06,24520,0.06,7889,0.06,22426,0.06,28145,0.06,26729,0.06,28608,0.06,30574,0.06,18036,0.06,27434,0.06,33189,0.06,24175,0.06,31186,0.06,29110,0.06,36818,0.06,20789,0.06,17117,0.06,9903
