time,temp,sulf,anly,yield product,var yield,category
556.0,133.0,89.0,46.0,0.9609038308977494,0.003140661428906125,R 2A
561.0,133.0,87.0,67.0,0.9404739514007056,0.01231045021150777,R 2A
68.0,58.0,85.0,65.0,0.2802208529146297,0.10736039936323385,R 2B
101.0,133.0,85.0,98.0,0.5183974339842473,0.042323503078064255,R 2B
113.0,58.0,86.0,83.0,0.15951710728222265,0.023112405321750636,R 2B
154.0,103.0,96.0,96.0,0.7604063709135853,0.019867734325590875,R 2B
180.0,103.0,92.0,44.0,0.6110884761667204,0.08891101584927988,R 2B
206.0,133.0,95.0,49.0,0.926932453786634,0.03887394597256452,R 2B
252.0,58.0,75.0,57.0,0.23851507425099605,0.005558904743752936,R 2B
263.0,103.0,80.0,75.0,0.19800140942064548,0.007092697710651032,R 2B
268.0,133.0,83.0,74.0,0.6769720427535996,0.13568950433063723,R 2B
274.0,133.0,75.0,52.0,0.24282711476068644,0.11438987098711506,R 2B
315.0,58.0,87.0,77.0,0.2107471733263374,0.029479450893566118,R 2B
325.0,103.0,77.0,59.0,0.2504017895441603,0.006509517875585085,R 2B
372.0,133.0,96.0,41.0,0.9748115711706018,0.0004865286169118584,R 2B
517.0,133.0,77.0,79.0,0.26580986594213757,0.02054262359215978,R 2B
590.0,58.0,87.0,74.0,0.2336857159637893,0.013695618727134068,R 2B
132.0,62.0,93.0,90.0,0.03743054011269994,0.00466896150417348,R 2C
144.0,89.0,84.0,57.0,0.053051797263853666,0.005196726693175538,R 2C
148.0,111.0,82.0,90.0,0.051340101752222235,0.005804662326372218,R 2C
181.0,89.0,98.0,43.0,0.182853195829108,0.007499360631789671,R 2C
181.0,89.0,94.0,37.0,0.09929994812329364,0.02134884960122393,R 2C
217.0,89.0,79.0,36.0,0.07405533136494256,0.007938502499203116,R 2C
271.0,89.0,84.0,69.0,0.06530720718270787,0.0029274613706744778,R 2C
299.0,89.0,85.0,86.0,0.06692810828302358,0.005065517039021666,R 2C
343.0,89.0,86.0,81.0,0.07034512093691524,0.002723036379284171,R 2C
346.0,111.0,90.0,39.0,0.5150351471839417,0.04775706070929053,R 2C
347.0,62.0,91.0,44.0,0.08308989106131061,0.005286994203016179,R 2C
405.0,62.0,77.0,61.0,0.06880883947790571,0.0066726676353886065,R 2C
495.0,62.0,98.0,39.0,0.1135923316471091,0.007472032653770175,R 2C
530.0,62.0,89.0,51.0,0.10030353121716236,0.025368074188036705,R 2C
594.0,111.0,78.0,97.0,0.07033971673544583,0.006317312465308779,R 2C
229.0,137.0,99.0,66.0,0.6891483689675985,0.06542413571037485,R 3A
258.0,137.0,98.0,40.0,0.8316639619946998,0.08722332141085111,R 3A
276.0,137.0,96.0,54.0,0.7574409378822878,0.012099303360470492,R 3A
290.0,137.0,92.0,72.0,0.5016824530553899,0.009140660388605538,R 3A
301.0,119.0,90.0,71.0,0.1904521315757867,0.017333969122536676,R 3A
334.0,70.0,90.0,72.0,0.0057732516712982,0.0007595591566063968,R 3A
339.0,70.0,80.0,49.0,0.0011044694344898,0.00010955586309441368,R 3A
405.0,70.0,94.0,58.0,0.013605097786328966,0.0005707653465158719,R 3A
423.0,137.0,94.0,58.0,0.8235744762390439,0.03814878354773885,R 3A
454.0,70.0,87.0,95.0,0.0035459712388709666,0.00028788281391341203,R 3A
502.0,119.0,92.0,94.0,0.2167433363616945,0.0015768714008179657,redo
540.0,119.0,95.0,53.0,0.37380852517694957,0.0141727438108643,R 3A
569.0,137.0,99.0,65.0,0.9711074692468448,0.014750333300853173,R 3A
600.0,119.0,90.0,70.0,0.4419686195698791,0.01272070959564373,R 3A
