X16,Y16
0.1508333,0.2611332
0.1516667,0.3981891
0.1525,0.551389
0.1533333,0.7043524
0.1541667,0.8431804
0.155,0.9591501
0.1558333,1.048817
0.1566667,1.11251
0.1575,1.152503
0.1583333,1.171603
0.1591667,1.172381
0.16,1.157069
0.1608333,1.127823
0.1616667,1.087028
0.1625,1.037362
0.1633333,0.9816101
0.1641667,0.922394
0.165,0.8619318
0.1658333,0.8019054
0.1666667,0.7434254
0.1675,0.6871228
0.1683333,0.6333535
0.1691667,0.582387
0.17,0.5345256
0.1708333,0.4900734
0.1716667,0.4492664
0.1725,0.4121969
0.1733333,0.3787875
0.1741667,0.3488493
0.175,0.3221259
0.1758333,0.2983477
0.1766667,0.2772605
0.1775,0.2586334
0.1783333,0.2422595
0.1791667,0.2279499
0.18,0.2155278
0.1808333,0.2048202
0.1816667,0.1956511
0.1825,0.1878448
0.1833333,0.1812313
0.1841667,0.1756501
0.185,0.1709523
0.1858333,0.1670024
0.1866667,0.1636832
0.1875,0.1608949
0.1883333,0.1585507
0.1891667,0.156575
0.19,0.1549044
0.1908333,0.1534886
0.1916667,0.1522872
0.1925,0.1512685
0.1933333,0.1504061
0.1941667,0.1496789
0.195,0.1490722
0.1958333,0.148576
0.1966667,0.1481857
0.1975,0.147897
0.1983333,0.1477101
0.1991667,0.1476257
0.2,0.1476457
0.2008333,0.1477721
0.2016667,0.1480074
0.2025,0.1483572
0.2033333,0.1488259
0.2041667,0.1494188
0.205,0.1501396
0.2058333,0.150991
0.2066667,0.1519775
0.2075,0.1531017
0.2083333,0.1543682
0.2091667,0.155782
0.21,0.157352
0.2108333,0.1590905
0.2116667,0.1610091
0.2125,0.1631191
0.2133333,0.1654329
0.2141667,0.1679661
0.215,0.1707349
0.2158333,0.1737587
0.2166667,0.1770611
0.2175,0.1806719
0.2183333,0.184624
0.2191667,0.1889546
0.22,0.1937032
0.2208333,0.1989086
0.2216667,0.2046087
0.2225,0.2108393
0.2233333,0.2176304
0.2241667,0.2249982
0.225,0.2329342
0.2258333,0.2413874
0.2266667,0.2502489
0.2275,0.2593372
0.2283333,0.2683952
0.2291667,0.2770982
0.23,0.2850714
0.2308333,0.2919207
0.2316667,0.297266
0.2325,0.3007808
0.2333333,0.3022227
0.2341667,0.3014495
0.235,0.298429
0.2358333,0.2932274
0.2366667,0.2859943
0.2375,0.2769406
0.2383333,0.2663178
