X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48
0.04,224,0.04,6845,0.04,23043,0.04,21100,0.04,5366,0.04,5513,0.04,-6596,0.04,-4025,0.04,9696,0.04,6065,0.04,-981,0.04,14374,0.04,-1242,0.04,-2667,0.04,1013,0.04,-1978,0.04,6241,0.04,4688,0.04,-5554,0.04,-5774,0.04,-4640,0.04,-719,0.04,843,0.04,-6075,0.04,3268,0.04,2851,0.04,-6243,0.04,-174,0.04,-2787,0.04,-4430,0.04,-8278,0.04,-8117,0.04,-10638,0.04,-9420,0.04,-5973,0.04,-3148,0.04,-2917,0.04,-2420,0.04,-8610,0.04,-5640,0.04,2960,0.04,-5812,0.04,-10861,0.04,-8409,0.04,-7545,0.04,-2509,0.04,1891,0.04,-4436
0.042,3005,0.042,12229,0.042,27618,0.042,24351,0.042,10711,0.042,5687,0.042,-6994,0.042,-3913,0.042,14067,0.042,9672,0.042,2996,0.042,20583,0.042,1536,0.042,-1649,0.042,994,0.042,-1840,0.042,7886,0.042,5822,0.042,-4568,0.042,-4856,0.042,-2811,0.042,383,0.042,1108,0.042,-6150,0.042,3389,0.042,3038,0.042,-6110,0.042,64,0.042,-2742,0.042,-4140,0.042,-8388,0.042,-8324,0.042,-10711,0.042,-10124,0.042,-6401,0.042,-3500,0.042,-2891,0.042,-2444,0.042,-8851,0.042,-6037,0.042,2945,0.042,-5928,0.042,-10985,0.042,-8370,0.042,-7480,0.042,-2284,0.042,2212,0.042,-4424
0.043,6576,0.043,18854,0.043,29220,0.043,24784,0.043,17465,0.043,6884,0.043,-7249,0.043,-3151,0.043,19161,0.043,14090,0.043,8228,0.043,27235,0.043,5725,0.043,97,0.043,1399,0.043,-1053,0.043,10753,0.043,8165,0.043,-2566,0.043,-2852,0.043,267,0.043,2295,0.043,1358,0.043,-6211,0.043,4079,0.043,3917,0.043,-5070,0.043,863,0.043,-2140,0.043,-3599,0.043,-8704,0.043,-8398,0.043,-10420,0.043,-10722,0.043,-6632,0.043,-3724,0.043,-2973,0.043,-2154,0.043,-9157,0.043,-6445,0.043,3220,0.043,-5950,0.043,-10875,0.043,-8027,0.043,-7543,0.043,-1938,0.043,2486,0.043,-4484
0.045,9904,0.045,25825,0.045,27385,0.045,21800,0.045,24602,0.045,9169,0.045,-7313,0.045,-1399,0.045,24367,0.045,19245,0.045,14451,0.045,32948,0.045,11773,0.045,3255,0.045,2280,0.045,313,0.045,14654,0.045,11721,0.045,639,0.045,587,0.045,5028,0.045,5119,0.045,1496,0.045,-6534,0.045,5899,0.045,5767,0.045,-2876,0.045,2474,0.045,-919,0.045,-2689,0.045,-8799,0.045,-8797,0.045,-9750,0.045,-11307,0.045,-6609,0.045,-3352,0.045,-2918,0.045,-1433,0.045,-9178,0.045,-6798,0.045,3627,0.045,-5989,0.045,-10430,0.045,-7549,0.045,-7817,0.045,-1508,0.045,2965,0.045,-4183
0.047,12459,0.047,31878,0.047,21890,0.047,15778,0.047,31239,0.047,13018,0.047,-7214,0.047,1917,0.047,28478,0.047,23653,0.047,20648,0.047,36511,0.047,19047,0.047,7927,0.047,4241,0.047,2913,0.047,19270,0.047,16492,0.047,5309,0.047,5418,0.047,11251,0.047,9039,0.047,1994,0.047,-6712,0.047,8503,0.047,8658,0.047,378,0.047,5366,0.047,1272,0.047,-1487,0.047,-8743,0.047,-9087,0.047,-8457,0.047,-11971,0.047,-6041,0.047,-2136,0.047,-2439,0.047,-213,0.047,-8939,0.047,-7249,0.047,4468,0.047,-6089,0.047,-9450,0.047,-6419,0.047,-7987,0.047,-626,0.047,3258,0.047,-3738
0.048,13601,0.048,35720,0.048,13671,0.048,7795,0.048,35874,0.048,17962,0.048,-6752,0.048,6653,0.048,30539,0.048,26400,0.048,25462,0.048,36624,0.048,26497,0.048,14068,0.048,7268,0.048,6940,0.048,23876,0.048,22134,0.048,11593,0.048,11517,0.048,18384,0.048,14293,0.048,3260,0.048,-6568,0.048,12649,0.048,12895,0.048,4848,0.048,9816,0.048,4632,0.048,191,0.048,-8336,0.048,-8954,0.048,-6273,0.048,-12480,0.048,-4649,0.048,404,0.048,-861,0.048,1843,0.048,-8180,0.048,-7699,0.048,6626,0.048,-5475,0.048,-7127,0.048,-4386,0.048,-7614,0.048,449,0.048,3399,0.048,-3197
0.05,12595,0.05,36062,0.05,4166,0.05,-540,0.05,37408,0.05,23893,0.05,-5549,0.05,12748,0.05,29163,0.05,26086,0.05,27563,0.05,32865,0.05,32704,0.05,21204,0.05,11925,0.05,12672,0.05,27438,0.05,27354,0.05,18298,0.05,17990,0.05,25378,0.05,20827,0.05,6095,0.05,-5532,0.05,17773,0.05,18110,0.05,10645,0.05,15714,0.05,9287,0.05,3140,0.05,-7303,0.05,-8232,0.05,-2845,0.05,-12536,0.05,-1991,0.05,4498,0.05,2286,0.05,5418,0.05,-6708,0.05,-7604,0.05,10193,0.05,-3555,0.05,-3776,0.05,-1280,0.05,-6511,0.05,2015,0.05,3622,0.05,-2594
0.052,9702,0.052,32688,0.052,-4913,0.052,-8055,0.052,35053,0.052,29041,0.052,-3162,0.052,20072,0.052,24549,0.052,22505,0.052,26490,0.052,25337,0.052,36098,0.052,28194,0.052,17588,0.052,19158,0.052,28827,0.052,30936,0.052,24305,0.052,23605,0.052,30730,0.052,27554,0.052,10506,0.052,-3298,0.052,23188,0.052,23463,0.052,16618,0.052,22525,0.052,15307,0.052,7357,0.052,-5108,0.052,-6951,0.052,1624,0.052,-12493,0.052,2160,0.052,10285,0.052,6927,0.052,10570,0.052,-3897,0.052,-7275,0.052,14913,0.052,44,0.052,958,0.052,3070,0.052,-4162,0.052,4468,0.052,4364,0.052,-1634
0.053,5341,0.053,25830,0.053,-12377,0.053,-13859,0.053,29155,0.053,32374,0.053,711,0.053,27813,0.053,16975,0.053,15445,0.053,21843,0.053,15133,0.053,35374,0.053,33518,0.053,23796,0.053,25747,0.053,27357,0.053,32084,0.053,28576,0.053,27063,0.053,32871,0.053,33607,0.053,16399,0.053,637,0.053,27630,0.053,27627,0.053,22051,0.053,29095,0.053,22102,0.053,12963,0.053,-1660,0.053,-4260,0.053,6944,0.053,-11789,0.053,7637,0.053,17475,0.053,13306,0.053,17272,0.053,195,0.053,-6064,0.053,20524,0.053,5271,0.053,6922,0.053,8629,0.053,-372,0.053,8363,0.053,5885,0.053,-681
0.055,305,0.055,16573,0.055,-17467,0.055,-17470,0.055,20605,0.055,32078,0.055,5958,0.055,33957,0.055,7752,0.055,6213,0.055,14168,0.055,3977,0.055,30708,0.055,35900,0.055,29153,0.055,30616,0.055,22753,0.055,29754,0.055,29826,0.055,27425,0.055,31263,0.055,37250,0.055,23091,0.055,6084,0.055,30386,0.055,29692,0.055,25724,0.055,33874,0.055,28517,0.055,19606,0.055,3379,0.055,-83,0.055,11869,0.055,-10251,0.055,13903,0.055,24994,0.055,20877,0.055,24728,0.055,5598,0.055,-3606,0.055,26182,0.055,11807,0.055,12904,0.055,14490,0.055,4848,0.055,13509,0.055,8566,0.055,960
